prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p22,7,-9.50350909079134e-14,9.50350909079134e-14,-6.609553755144191,-6.609553755144286,370.2925781170391,363.6830243618949,745.6245838619668,0.0,87.48158350397877,658.1430003579881,6.609553755144286,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,1,-29.24339152083644,29.24339152083644,-145.06034419506665,-174.3037357159031,570.2082575490879,425.1479133540212,1011.2,0.0,105.40370668500316,905.7962933149969,66.09812925378932,34.653467749526605,0.0,70.16192062302669,3.390218089560457,0.0,independent_wat_flux_minus_additive_storage_delta
p23,2,2.4868995751603507e-14,2.4868995751603507e-14,-28.713080401497336,-28.71308040149731,425.1479133540212,396.4348329525239,1001.6771315402674,0.0,54.95845243133979,946.7186791089276,28.71308037009792,3.139939104586177e-08,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,3,-9.769962616701378e-14,9.769962616701378e-14,-10.530920146645883,-10.53092014664598,396.4348329525239,385.903912805878,865.4027022386722,0.0,110.83686277676838,754.5658394619038,10.53092014664598,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,4,-1.4210854715202004e-14,1.4210854715202004e-14,-6.42900792442731,-6.429007924427324,385.903912805878,379.4749048814507,1123.2834995543935,0.0,65.96807771344166,1057.3154218409518,6.429007924427324,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,5,0.0,0.0,-7.743916904320827,-7.743916904320827,379.4749048814507,371.73098797712987,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.743916904320827,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,6,-1.3300471835009375e-13,1.3300471835009375e-13,-1.4384096838060145,-1.4384096838061475,371.73098797712987,370.29257829332386,750.7,0.0,54.43485064418687,696.2651493558133,1.4384096838060338,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p23,7,-1.4210854715202004e-13,1.4210854715202004e-13,-6.609553801400693,-6.6095538014008355,370.29257829332386,363.68302449192316,745.2498239972813,0.0,87.48158350397877,657.7682404933026,6.609553801400722,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p24,1,-19.292800836265428,19.292800836265428,-116.20960467840342,-135.50240551466885,554.7647620865231,438.55515740811967,1011.2,0.0,105.40370668500316,905.7962933149969,65.40659715738417,36.34258998417729,0.0,33.544215874804486,0.20900249830289586,0.0,independent_wat_flux_minus_additive_storage_delta
p24,2,-1.7763568394002505e-14,1.7763568394002505e-14,-27.099470078136278,-27.099470078136296,438.55515740811967,411.4556873299834,1007.1251621355418,0.0,54.95845243133979,952.166709704202,27.09946994868212,1.294541764012111e-07,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
