prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p3,3,-0.008856700994078981,0.008856700994078981,-3.5902289237383798,-3.5990856247324587,273.7262406889392,270.1360117652008,887.7191865995632,0.0,76.81423411289717,810.904952486666,3.599085624732345,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,4,-0.0034656241816319877,0.0034656241816319877,-1.259638476281964,-1.263104100463596,270.1325461410191,268.8729076647371,1133.427937930609,0.0,102.08406391576321,1031.3438740148458,1.263104100463596,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,5,-0.0023059513535887977,0.0023059513535887977,-0.6276957778167684,-0.6300017291703572,268.87060171338345,268.2429059355667,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.6300017291704709,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,6,-0.0012931977859581556,0.0012931977859581556,-0.3762776925958633,-0.37757089038182146,268.24161273778066,267.8653350451848,750.7,0.0,91.2840639157632,659.4159360842368,0.37757089038182146,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,7,-0.0008265572162049484,0.0008265572162049484,-0.25123459465476117,-0.2520611518709661,267.8645084879688,267.61327389331404,718.48202753806,0.0,95.06078731480784,623.4212402232523,0.25206115187085243,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,1,-91.19627335314567,91.19627335314567,-135.03630035345256,-226.23257370659823,372.35482622709446,237.3185258736419,1011.2,0.0,105.40370668500316,905.7962933149969,49.64401528559497,26.71149142194294,0.0,87.38072347284557,62.49634352621475,0.0,independent_wat_flux_minus_additive_storage_delta
p4,2,-1.1013412404281553e-13,1.1013412404281553e-13,-23.811121568059463,-23.811121568059573,237.3185258736419,213.50740430558244,1018.7669189072363,0.0,54.95845243133979,963.8084664758967,23.81112156805946,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,3,-6.039613253960852e-14,6.039613253960852e-14,-8.744900933935583,-8.744900933935643,213.50740430558247,204.7625033716469,850.7645387621703,0.0,110.83686277676838,739.927675985402,8.744900933935643,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,4,-2.469136006766348e-13,2.469136006766348e-13,-5.999748212559325,-5.999748212559572,204.7625033716469,198.76275515908756,1120.8318756639264,0.0,65.96807771344166,1054.863797950485,5.999748212559345,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,5,-1.9273471707492718e-13,1.9273471707492718e-13,-4.429620135336336,-4.4296201353365285,198.7627551590875,194.33313502375117,810.8785614794263,0.0,135.92984508358256,674.9487163958438,4.429620135336415,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,6,8.215650382226158e-15,8.215650382226158e-15,-1.8344313576462241,-1.834431357646216,194.3331350237512,192.49870366610497,750.2581051872405,0.0,54.43485064418687,695.8232545430536,1.834431357646216,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p4,7,-8.482103908136196e-14,8.482103908136196e-14,-3.6613739095534186,-3.6613739095535034,192.49870366610497,188.83732975655155,747.2662421819563,0.0,87.48158350397877,659.7846586779776,3.6613739095533897,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p5,1,-71.45610344497726,71.45610344497726,-135.09852308447353,-206.5546265294508,605.789371604914,470.69084852044045,1011.2,0.0,105.40370668500316,905.7962933149969,72.57891884545668,30.063535396232055,0.0,96.76583164443358,7.146340643328485,0.0,independent_wat_flux_minus_additive_storage_delta
p5,2,-0.25779325021623833,0.25779325021623833,-60.31613470960423,-60.573927959820466,470.43305530533746,410.11692059573323,1001.7579852588149,0.0,54.95845243133979,946.7995328274751,23.67933383061802,0.0,0.0,36.17554727097644,0.7190468582260066,0.0,independent_wat_flux_minus_additive_storage_delta
p5,3,-1.0658141036401503e-14,1.0658141036401503e-14,-9.433373736559986,-9.433373736559997,410.1169205957332,400.6835468591732,865.3352589522027,0.0,110.83686277676838,754.4983961754343,9.433373736559997,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p5,4,-9.769962616701378e-14,9.769962616701378e-14,-5.758768893119964,-5.758768893120061,400.6835468591732,394.9247779660532,1123.2700891223158,0.0,65.96807771344166,1057.302011408874,5.758768893120061,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p5,5,4.43957759443947e-10,4.43957759443947e-10,-7.190267771173922,-7.190267770729964,394.92477796605317,387.73451019487925,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.190267770729964,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p5,6,-8.79296635503124e-14,8.79296635503124e-14,-1.4596430516770624,-1.4596430516771504,387.73451019487925,386.2748671432022,750.7,0.0,54.43485064418687,696.2651493558133,1.4596430516770367,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p5,7,-3.197442310920451e-14,3.197442310920451e-14,-6.407040068583001,-6.407040068583033,386.2748671432022,379.8678270746192,745.2527019176825,0.0,87.48158350397877,657.7711184137038,6.407040068583033,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
