prefix,year,inputs,outputs,initial_soil_water_total,final_soil_water_total,delta_soil_water_total,residual,abs_residual
p33,5,810.4366666666667,851.7494103255763,758.0793561467789,733.2380762723428,-24.841279874436054,-16.471463784473485,16.471463784473485
p33,6,750.7,765.874535518306,733.2380762723428,685.088731747314,-48.14934452502882,32.97480900672292,32.97480900672292
p33,7,745.3299140535146,782.8512118443086,685.088731747314,676.0011120481729,-9.0876196991411,-28.43367809165295,28.43367809165295
p34,2,1004.7100614600959,897.4489545539102,696.9635438495524,756.9263553000942,59.962811450541835,47.298295455643824,47.298295455643824
p34,3,862.8001174996092,981.8459087964416,756.9263553000942,637.8805640032889,-119.0457912968053,-2.7057467377744615e-11,2.7057467377744615e-11
p34,4,1122.8531543736283,1081.8358137303549,637.8805640032889,743.85523902039,105.97467501710105,-64.95733437382762,64.95733437382762
p34,5,810.4366666666667,908.0017758548871,743.85523902039,664.3373433775289,-79.51789564286105,-18.04721354535934,18.04721354535934
p34,6,750.7,809.568912443744,664.3373433775289,570.3484178347879,-93.98892554274096,35.12001309899699,35.12001309899699
p34,7,745.5897466751451,799.6387933897179,570.3484178347879,545.7803385880222,-24.568079246765706,-29.48096746780709,29.48096746780709
p35,2,1000.2755597356128,891.2372392966369,712.287325814784,795.1313465197024,82.84402070491842,26.194299734057495,26.194299734057495
p35,3,866.6066618618449,971.4073073666714,795.1313465197024,690.3307010148762,-104.8006455048262,-2.2737367544323206e-13,2.2737367544323206e-13
p35,4,1123.4811117358754,1099.546751967177,690.3307010148762,759.4698672584653,69.1391662435891,-45.20480647489069,45.20480647489069
p35,5,810.4366666666667,849.7066903410991,759.4698672584653,736.4331406985967,-23.03672655986861,-16.23329711456381,16.23329711456381
p35,6,750.7,764.5679128911784,736.4331406985967,689.9499013516999,-46.48323934689688,32.61532645571856,32.61532645571856
p35,7,745.0926384937575,784.784181487571,689.9499013516999,678.6751212428231,-11.274780108876712,-28.416762884936816,28.416762884936816
p36,2,1002.2551864737914,893.1728346846265,707.0801993896065,768.8623890876312,61.782189698024695,47.30016209114012,47.30016209114012
p36,3,864.8888163776153,975.486869818947,768.8623890876312,658.2643356463249,-110.59805344130632,-2.5352164811920375e-11,2.5352164811920375e-11
p36,4,1123.2193304819266,1090.7990917211478,658.2643356463249,755.601220025846,97.33688437952117,-64.91664561874234,64.91664561874234
p36,5,810.4366666666667,887.3654876320697,755.601220025846,696.1344136788671,-59.466806346978956,-17.462014618424064,17.462014618424064
p36,6,750.7,802.1020813090676,696.1344136788671,610.2384997154212,-85.89591396344588,34.493832654378366,34.493832654378366
p36,7,745.3722162924341,803.9858847334119,610.2384997154212,581.0748835501698,-29.16361616525137,-29.45005227572642,29.45005227572642
p37,2,1001.3961909307109,894.6464074046719,697.6198128097303,757.0754049869702,59.45559217723985,47.29419134879913,47.29419134879913
p37,3,865.6521046754276,983.4461158835697,757.0754049869702,639.2813937788536,-117.79401120811656,-2.5579538487363607e-11,2.5579538487363607e-11
p37,4,1123.3150377271947,1082.9400072868843,639.2813937788536,744.4875186105056,105.206124831652,-64.8310943913416,64.8310943913416
p37,5,810.4366666666667,906.7266396865234,744.4875186105056,665.5624149367019,-78.92510367380373,-17.364869346052956,17.364869346052956
p37,6,750.7,809.394984918503,665.5624149367019,572.5539649231557,-93.00845001354617,34.31346509504317,34.31346509504317
p37,7,745.1930877648414,799.6272908377634,572.5539649231557,547.5658038782822,-24.98816104487355,-29.44604202804851,29.44604202804851
p38,2,1002.2172231250023,891.5981985386595,715.2760267881972,799.6979087452761,84.42188195707888,26.197142629263908,26.197142629263908
