prefix,sim_day_index,sim_year,julian,legacy_frdp_mm,open_proxy_frdp_mm,legacy_wat_frozwt_mm,open_wat_frozwt_mm
p37,1056,3,326,0.0,93.33333333333333,0.0,13.906666666666665
p37,1057,3,327,0.0,93.33333333333333,0.0,13.906666666666665
p37,1058,3,328,0.0,93.33333333333333,0.0,13.906666666666665
p37,1059,3,329,0.0,93.33333333333333,0.0,13.906666666666665
p37,1060,3,330,0.0,93.33333333333333,0.0,13.906666666666665
p37,1061,3,331,0.0,138.33333333333337,0.0,20.61166666666667
p37,1062,3,332,0.0,138.33333333333337,0.0,20.61166666666667
p37,1063,3,333,0.0,176.66666666666666,0.0,26.32333333333333
p37,1064,3,334,0.0,195.0,0.0,29.055
p37,1065,3,335,0.0,195.0,0.0,29.055
p37,1066,3,336,0.0,195.0,0.0,29.055
p37,1067,3,337,0.0,195.0,0.0,29.055
p37,1068,3,338,0.0,195.0,0.0,29.055
p37,1069,3,339,0.0,200.0,0.0,29.8
p37,1070,3,340,5.0,200.0,0.0,29.8
p37,1071,3,341,0.0,200.0,0.0,29.8
p37,1072,3,342,5.0,200.0,0.0,29.8
p37,1073,3,343,5.0,200.0,0.0,29.8
p37,1074,3,344,0.0,200.0,0.0,29.8
p37,1075,3,345,0.0,200.0,0.0,29.8
p37,1076,3,346,5.0,200.0,0.0,29.8
p37,1077,3,347,0.0,200.0,0.0,29.8
p37,1078,3,348,0.0,200.0,0.0,29.8
p37,1079,3,349,0.0,200.0,0.0,29.8
p37,1080,3,350,0.0,200.0,0.0,29.8
p37,1081,3,351,0.0,200.0,0.0,29.8
p37,1082,3,352,0.0,200.0,0.0,29.8
p37,1083,3,353,5.0,200.0,0.0,29.8
p37,1084,3,354,5.0,200.0,0.02,29.8
p37,1085,3,355,5.0,200.0,0.45,29.8
p37,1086,3,356,5.0,200.0,0.35,29.8
p37,1087,3,357,1.6,200.0,0.15,29.8
p37,1088,3,358,4.1,200.0,0.74,29.8
p37,1089,3,359,7.1,200.0,1.5,29.8
p37,1090,3,360,10.0,200.0,2.36,29.8
p37,1091,3,361,12.9,200.0,3.18,29.8
p37,1092,3,362,14.5,200.0,3.47,29.8
p37,1093,3,363,16.8,200.0,3.95,29.8
p37,1094,3,364,18.7,200.0,4.38,29.8
p37,1095,3,365,20.0,200.0,4.95,29.8
p37,1096,3,366,22.7,200.0,5.69,29.8
p37,1097,4,1,28.8,200.0,7.14,29.8
p37,1098,4,2,30.0,200.0,7.91,29.8
p37,1099,4,3,31.8,200.0,8.09,29.8
p37,1100,4,4,35.2,200.0,8.9,29.8
p37,1101,4,5,40.0,200.0,10.26,29.8
p37,1102,4,6,45.2,200.0,11.6,29.8
p37,1103,4,7,50.0,200.0,13.05,29.8
p37,1104,4,8,55.6,200.0,14.42,29.8
p37,1105,4,9,60.0,200.0,15.56,29.8
p37,1106,4,10,62.6,200.0,16.42,29.8
p37,1107,4,11,65.9,200.0,17.23,29.8
p37,1108,4,12,67.0,200.0,17.49,29.8
p37,1109,4,13,68.3,200.0,17.76,29.8
p37,1110,4,14,70.0,200.0,18.27,29.8
p37,1111,4,15,72.0,200.0,18.84,29.8
p37,1112,4,16,74.2,200.0,19.33,29.8
p37,1113,4,17,78.3,200.0,20.17,29.8
p37,1114,4,18,81.2,200.0,21.05,29.8
p37,1115,4,19,83.7,200.0,21.65,29.8
p37,1116,4,20,85.4,200.0,22.03,29.8
p37,1117,4,21,86.1,200.0,22.15,29.8
p37,1118,4,22,88.0,200.0,22.43,29.8
p37,1119,4,23,90.0,200.0,22.76,29.8
p37,1120,4,24,91.5,200.0,23.34,29.8
p37,1121,4,25,95.5,200.0,24.05,29.8
p37,1122,4,26,97.7,200.0,24.36,29.8
p37,1123,4,27,100.0,200.0,24.88,29.8
p37,1124,4,28,101.9,200.0,25.44,29.8
p37,1125,4,29,105.0,200.0,26.26,29.8
p37,1126,4,30,106.9,200.0,26.76,29.8
p37,1127,4,31,107.8,200.0,26.99,29.8
p37,1128,4,32,110.0,200.0,27.62,29.8
p37,1129,4,33,110.0,200.0,27.95,29.8
p37,1130,4,34,111.5,200.0,28.22,29.8
p37,1131,4,35,112.9,200.0,28.59,29.8
p37,1132,4,36,114.0,200.0,28.91,29.8
p37,1133,4,37,115.1,200.0,29.22,29.8
p37,1134,4,38,116.3,200.0,29.54,29.8
p37,1135,4,39,117.7,200.0,29.92,29.8
p37,1136,4,40,118.4,200.0,30.12,29.8
p37,1137,4,41,120.0,200.0,30.59,29.8
p37,1138,4,42,120.0,200.0,30.84,29.8
p37,1139,4,43,121.2,200.0,31.15,29.8
p37,1140,4,44,122.2,200.0,31.45,29.8
p37,1141,4,45,124.0,200.0,31.97,29.8
p37,1142,4,46,126.1,200.0,32.59,29.8
p37,1143,4,47,128.7,200.0,33.33,29.8
p37,1144,4,48,132.6,200.0,34.67,29.8
p37,1145,4,49,135.9,200.0,35.59,29.8
p37,1146,4,50,138.5,200.0,36.3,29.8
p37,1147,4,51,140.0,200.0,36.97,29.8
p37,1148,4,52,140.0,200.0,37.19,29.8
p37,1149,4,53,142.5,200.0,37.62,29.8
p37,1150,4,54,145.3,200.0,38.41,29.8
p37,1151,4,55,148.5,200.0,39.3,29.8
p37,1152,4,56,150.0,200.0,40.15,29.8
p37,1153,4,57,153.3,200.0,40.85,29.8
p37,1154,4,58,154.8,200.0,41.27,29.8
p37,1155,4,59,156.5,200.0,41.74,29.8
p37,1156,4,60,157.8,200.0,42.1,29.8
p37,1157,4,61,158.8,200.0,42.38,29.8
p37,1158,4,62,160.0,200.0,42.84,29.8
p37,1159,4,63,160.0,200.0,43.02,29.8
p37,1160,4,64,161.2,200.0,43.27,29.8
p37,1161,4,65,162.2,200.0,43.53,29.8
p37,1162,4,66,162.7,200.0,43.68,29.8
p37,1163,4,67,162.9,200.0,43.73,29.8
p37,1164,4,68,163.2,200.0,43.82,29.8
p37,1165,4,69,163.6,200.0,43.92,29.8
p37,1166,4,70,164.4,200.0,44.16,29.8
p37,1167,4,71,165.5,200.0,44.48,29.8
p37,1168,4,72,167.3,200.0,45.0,29.8
p37,1169,4,73,170.0,200.0,45.81,29.8
p37,1170,4,74,170.0,200.0,46.09,29.8
p37,1171,4,75,170.0,200.0,46.27,29.8
p37,1172,4,76,172.6,200.0,46.76,29.8
p37,1173,4,77,174.3,200.0,47.22,29.8
p37,1174,4,78,174.7,200.0,47.33,29.8
p37,1175,4,79,175.2,200.0,47.48,29.8
p37,1176,4,80,175.8,200.0,47.63,29.8
p37,1177,4,81,176.1,200.0,47.71,29.8
p37,1178,4,82,176.3,200.0,47.78,29.8
p37,1179,4,83,176.8,200.0,47.9,29.8
p37,1180,4,84,177.4,200.0,48.07,29.8
p37,1181,4,85,178.0,200.0,48.25,29.8
p37,1182,4,86,178.5,200.0,48.4,29.8
p37,1183,4,87,179.0,200.0,48.57,29.8
p37,1184,4,88,180.0,0.0,45.61,0.0
p37,1185,4,89,180.0,0.0,42.88,0.0
p37,1186,4,90,180.0,0.0,41.81,0.0
p37,1187,4,91,180.0,83.33333333333334,41.68,12.416666666666668
p37,1188,4,92,180.0,83.33333333333334,40.74,12.416666666666668
p37,1189,4,93,180.0,83.33333333333334,38.26,12.416666666666668
p37,1190,4,94,180.0,83.33333333333334,35.58,12.416666666666668
p37,1191,4,95,180.0,83.33333333333334,33.0,12.416666666666668
p37,1192,4,96,180.0,83.33333333333334,29.39,12.416666666666668
p37,1193,4,97,180.0,0.0,26.65,0.0
p37,1194,4,98,180.0,0.0,23.04,0.0
p37,1195,4,99,180.0,0.0,19.39,0.0
p37,1196,4,100,180.0,0.0,14.68,0.0
p37,1197,4,101,170.0,0.0,12.42,0.0
p37,1198,4,102,170.0,0.0,9.0,0.0
p37,1199,4,103,170.0,0.0,6.13,0.0
p37,1200,4,104,170.0,0.0,4.05,0.0
p37,1201,4,105,163.8,0.0,3.22,0.0
p37,1202,4,106,160.0,0.0,0.77,0.0
p37,1203,4,107,160.0,0.0,0.0,0.0
p37,1205,4,109,0.0,0.0,0.0,0.0
p37,1206,4,110,5.0,0.0,0.0,0.0
p37,1207,4,111,5.0,0.0,0.0,0.0
p37,1208,4,112,0.0,0.0,0.0,0.0
p37,1212,4,116,0.0,0.0,0.0,0.0
p37,1369,4,273,0.0,0.0,0.0,0.0
p37,1371,4,275,5.0,0.0,0.0,0.0
p37,1374,4,278,0.0,0.0,0.0,0.0
p37,1378,4,282,7.9,0.0,0.0,0.0
p37,1379,4,283,6.8,0.0,0.0,0.0
p37,1380,4,284,5.0,0.0,0.0,0.0
p37,1381,4,285,5.0,0.0,0.0,0.0
p37,1382,4,286,5.0,0.0,0.0,0.0
p37,1390,4,294,0.0,0.0,0.0,0.0
p37,1391,4,295,5.0,0.0,0.0,0.0
p37,1396,4,300,0.0,0.0,0.0,0.0
p37,1397,4,301,0.0,0.0,0.0,0.0
p37,1398,4,302,5.0,36.66666666666667,0.0,5.463333333333334
p37,1399,4,303,5.0,63.333333333333336,0.0,9.436666666666667
p37,1400,4,304,7.7,101.66666666666667,0.26,15.148333333333333
p37,1401,4,305,22.2,101.66666666666667,0.04,15.148333333333333
p37,1402,4,306,5.0,101.66666666666667,0.0,15.148333333333333
p37,1403,4,307,5.0,101.66666666666667,0.0,15.148333333333333
p37,1405,4,309,24.2,28.33333333333332,1.6,4.221666666666664
p37,1406,4,310,25.6,175.00000000000003,4.43,26.075
p37,1407,4,311,35.9,175.00000000000003,3.97,26.075
p37,1408,4,312,27.9,175.00000000000003,1.29,26.075
p37,1409,4,313,10.0,175.00000000000003,0.0,26.075
p37,1410,4,314,13.8,175.00000000000003,0.04,26.075
p37,1411,4,315,10.0,175.00000000000003,0.0,26.075
p37,1412,4,316,10.0,175.00000000000003,0.0,26.075
p37,1413,4,317,0.0,175.00000000000003,0.0,26.075
p37,1414,4,318,5.0,175.00000000000003,0.0,26.075
p37,1415,4,319,10.0,175.00000000000003,0.0,26.075
p37,1416,4,320,10.0,175.00000000000003,0.0,26.075
p37,1417,4,321,20.0,175.00000000000003,2.72,26.075
p37,1418,4,322,21.3,175.00000000000003,0.0,26.075
