lane_id,role,response,units,status,B,L,S,LS,longwave_main,sublimation_main,combined,interaction
marcell_open,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.08942034234196532,0.08942034234196532,0.08722280889362463,0.08806524203879296,0.0,-0.0021975334483406855,-0.0013551003031723602,0.0008424331451683253
marcell_open,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.105058978329676,0.05271728431882575,0.0,0.105058978329676,0.05271728431882575,-0.05234169401085026
marcell_open,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,5.517174678423343,5.517174678423343,5.413251262611241,5.465624151388675,0.0,-0.10392341581210207,-0.051550527034668114,0.05237288877743396
marcell_open,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,9.24346095343e-05,0.02627578542837022,0.00771583199787496,0.04568337377805415,0.02618335081883592,0.00762339738834066,0.04559093916851985,0.011784190961343269
marcell_open,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,185.0,185.0,185.0,185.0,0.0,0.0,0.0,0.0
marcell_open,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,112.0,112.0,111.5,111.5,0.0,-0.5,-0.5,0.0
sleepers_south_open,DIAGNOSTIC_ONLY,mean_swe_m,m,AVAILABLE,0.054719723510000984,0.054719723510000984,0.05183599480355709,0.052923458108834684,0.0,-0.0028837287064438916,-0.0017962654011662998,0.0010874633052775917
sleepers_south_open,DIAGNOSTIC_ONLY,peak_swe_m,m,AVAILABLE,0.5026570249301239,0.5026570249301239,0.4886473347499845,0.4928905734100145,0.0,-0.014009690180139367,-0.009766451520109354,0.004243238660030013
sleepers_south_open,DIAGNOSTIC_ONLY,mean_depth_m,m,AVAILABLE,0.18923590435260496,0.18923590435260496,0.17917450606441074,0.1831239992759722,0.0,-0.010061398288194218,-0.0061119050766327565,0.003949493211561461
sleepers_south_open,DIAGNOSTIC_ONLY,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.42464430472689146,0.22973397835124235,0.0,0.42464430472689146,0.22973397835124235,-0.19491032637564912
sleepers_south_open,DIAGNOSTIC_ONLY,total_snowpack_swe_loss_m,m,AVAILABLE,13.894598590012494,13.894598590012494,13.43743339900538,13.650463280934794,0.0,-0.45716519100711395,-0.2441353090777003,0.21302988192941363
sleepers_south_open,DIAGNOSTIC_ONLY,total_refreeze_m,m,AVAILABLE,0.00894498843838375,0.2710548690309292,0.14937487433737226,0.31893186041943106,0.2621098805925454,0.1404298858989885,0.3099868719810473,-0.09255289451048664
sleepers_south_open,DIAGNOSTIC_ONLY,median_disappearance_dowy,day_of_water_year,AVAILABLE,202.0,202.0,200.5,202.0,0.0,-1.5,0.0,1.5
sleepers_south_open,DIAGNOSTIC_ONLY,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,127.0,127.0,126.0,126.0,0.0,-1.0,-1.0,0.0
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,mean_swe_m,m,AVAILABLE,0.06079476454241009,0.06079476454241009,0.052830954947444636,0.055806515179186514,0.0,-0.007963809594965454,-0.004988249363223576,0.0029755602317418778
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,peak_swe_m,m,AVAILABLE,0.5147573671309411,0.5147573671309411,0.47504618481093314,0.48782567502711255,0.0,-0.039711182320007976,-0.026931692103828564,0.012779490216179412
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,mean_depth_m,m,AVAILABLE,0.20884075198161633,0.20884075198161633,0.18125159581946296,0.1919331042483215,0.0,-0.027589156162153378,-0.01690764773329484,0.010681508428858538
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,total_sublimation_m,m,AVAILABLE,0.0,0.0,1.6083560066541642,1.009744390208591,0.0,1.6083560066541642,1.009744390208591,-0.5986116164455733
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,total_snowpack_swe_loss_m,m,AVAILABLE,17.943386731301953,17.943386731301953,16.249416301952426,16.849125817282502,0.0,-1.6939704293495268,-1.0942609140194506,0.5997095153300762
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,total_refreeze_m,m,AVAILABLE,0.01297663649096528,0.3955989389649735,0.5197159799310981,0.5315642489620357,0.38262230247400825,0.5067393434401328,0.5185876124710704,-0.37077403344307064
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,median_disappearance_dowy,day_of_water_year,AVAILABLE,203.0,203.0,201.0,202.0,0.0,-2.0,-1.0,1.0
sleepers_w9_hardwood,DIAGNOSTIC_ONLY,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,129.5,129.5,124.5,126.5,0.0,-5.0,-3.0,2.0
