year,archive,contact,project,type,size,lat,long,obs.exp,treatment,treat.year,tract,site,plot,nbasket,bask.area,foliar.gcm2,nonfoliar.gcm2,total.gcm2,notes
2000,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,157.9,NA,NA,9 baskets averaged
2000,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,151.85,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,146.15,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,196.75,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,188.3,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,107.35,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,147.85,NA,NA,9 baskets averaged
2002,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,7,0.2345,141.85,NA,NA,7 baskets averaged
2002,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,8,0.2345,151.1,NA,NA,8 baskets averaged
2002,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,7,0.2345,135.55,NA,NA,7 baskets averaged
2003,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,231.905,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,244.935,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,224.715,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,218.77,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,201.45,NA,NA,9 baskets averaged
