year,project,archive,contact,type,plot,lat,long,obs.exp,treatment,treat.year,tract,transect,distance.m,size.class,count,d2q,a,dens,volume,mass
2013,phveg,hf271,barker.plotkin,AcerBetula,40,42.53160596,-72.18168729,obs,NA,NA,prospect hill,2,3,1,9,0.000172,1.11,0.39,0.000706571,275.5627115
2013,phveg,hf271,barker.plotkin,AcerBetula,42,42.53248975,-72.18067928,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,42,42.53248975,-72.18067928,obs,NA,NA,prospect hill,1,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,42,42.53248975,-72.18067928,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,42,42.53248975,-72.18067928,obs,NA,NA,prospect hill,2,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,47,42.54228258,-72.17818441,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,47,42.54228258,-72.17818441,obs,NA,NA,prospect hill,1,3,1,11,0.000172,1.11,0.39,0.000863587,336.7988696
2013,phveg,hf271,barker.plotkin,AcerBetula,47,42.54228258,-72.17818441,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,47,42.54228258,-72.17818441,obs,NA,NA,prospect hill,2,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,51,42.53464247,-72.17813529,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,51,42.53464247,-72.17813529,obs,NA,NA,prospect hill,1,3,1,3,0.000172,1.11,0.39,0.000235524,91.85423715
2013,phveg,hf271,barker.plotkin,AcerBetula,51,42.53464247,-72.17813529,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,51,42.53464247,-72.17813529,obs,NA,NA,prospect hill,2,3,1,5,0.000172,1.11,0.39,0.000392539,153.0903953
