arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
santee_constant,SANTEE,1,6,26,74.4,51.8,0.0
santee_constant,SANTEE,3,6,26,40.6,6.3,0.0
santee_constant,SANTEE,26,7,26,63.4,17.6,0.0
santee_constant,SANTEE,7,8,26,149.0,121.4,0.0
santee_constant,SANTEE,16,10,26,94.4,52.9,0.0
santee_constant,SANTEE,7,6,27,52.9,4.7,0.0
santee_constant,SANTEE,2,7,27,74.1,21.1,0.0
santee_constant,SANTEE,7,7,27,56.7,8.7,0.0
santee_constant,SANTEE,15,8,27,67.6,27.0,0.0
santee_constant,SANTEE,27,9,27,76.5,30.0,0.0
santee_constant,SANTEE,30,9,27,114.9,63.9,0.0
santee_constant,SANTEE,2,10,27,85.1,45.5,0.0
santee_constant,SANTEE,4,10,27,73.9,42.0,0.0
santee_constant,SANTEE,3,5,28,59.3,2.2,0.0
santee_constant,SANTEE,30,5,28,40.9,7.3,0.0
santee_constant,SANTEE,25,6,28,65.3,16.1,0.0
santee_constant,SANTEE,26,8,28,57.6,4.5,0.0
santee_constant,SANTEE,27,8,28,48.7,27.2,0.0
santee_constant,SANTEE,29,8,28,54.7,32.8,0.0
santee_constant,SANTEE,24,10,28,43.0,1.2,0.0
santee_constant,SANTEE,26,10,28,43.3,7.4,0.0
santee_constant,SANTEE,10,8,29,72.7,31.1,0.0
santee_constant,SANTEE,28,8,29,61.7,2.9,0.0
santee_constant,SANTEE,30,8,29,76.9,36.8,0.0
santee_constant,SANTEE,31,8,29,81.8,59.1,0.0
santee_constant,SANTEE,1,9,29,47.3,25.6,0.0
santee_constant,SANTEE,6,9,29,54.1,5.0,0.0
santee_constant,SANTEE,5,12,29,71.9,16.5,0.0
santee_constant,SANTEE,7,12,29,41.1,3.7,0.0
santee_constant,SANTEE,24,12,29,45.2,7.5,0.0
santee_constant,SANTEE,25,12,29,35.8,15.3,0.0
santee_constant,SANTEE,2,1,30,45.8,3.0,0.0
santee_constant,SANTEE,2,2,30,0.0,31.1,0.0
santee_constant,SANTEE,3,2,30,17.0,27.2,0.0
santee_constant,SANTEE,15,7,30,29.6,1.7,0.0
santee_constant,SANTEE,8,10,30,53.6,3.3,0.0
santee_constant,SANTEE,28,10,30,54.5,30.2,0.0
santee_constant,SANTEE,6,11,30,55.9,9.1,0.0
santee_constant,SANTEE,12,7,31,49.5,9.5,0.0
santee_constant,SANTEE,17,9,31,80.1,30.7,0.0
santee_constant,SANTEE,18,9,31,32.8,11.4,0.0
santee_constant,SANTEE,19,5,32,44.6,0.2,0.0
santee_constant,SANTEE,15,11,32,53.1,3.5,0.0
santee_constant,SANTEE,29,11,32,3.2,21.8,0.0
santee_constant,SANTEE,16,6,33,51.6,4.6,0.0
santee_constant,SANTEE,16,8,33,47.9,3.0,0.0
santee_constant,SANTEE,4,3,34,64.9,10.8,0.0
santee_constant,SANTEE,12,3,34,57.1,2.6,0.0
santee_constant,SANTEE,13,3,34,75.9,53.6,0.0
santee_constant,SANTEE,21,5,34,69.3,19.9,0.0
santee_constant,SANTEE,9,6,34,71.9,42.3,0.0
santee_constant,SANTEE,10,6,34,55.1,32.9,0.0
santee_constant,SANTEE,18,6,34,55.9,0.7,0.0
santee_constant,SANTEE,19,6,34,47.1,25.3,0.0
santee_constant,SANTEE,8,7,34,138.8,94.9,0.0
santee_constant,SANTEE,6,9,34,107.2,47.5,0.0
santee_constant,SANTEE,20,9,34,61.6,11.4,0.0
santee_constant,SANTEE,5,10,34,76.8,27.3,0.0
santee_constant,SANTEE,6,6,35,49.7,3.1,0.0
santee_constant,SANTEE,17,7,35,49.0,7.3,0.0
santee_constant,SANTEE,23,9,35,56.3,5.4,0.0
santee_constant,SANTEE,14,9,36,57.2,10.4,0.0
santee_constant,SANTEE,7,1,37,54.5,11.3,0.0
santee_constant,SANTEE,24,1,37,57.5,5.6,0.0
santee_constant,SANTEE,17,6,37,84.4,38.5,0.0
santee_constant,SANTEE,3,7,37,55.6,6.4,0.0
santee_constant,SANTEE,4,7,37,49.8,27.6,0.0
santee_constant,SANTEE,11,7,37,52.6,5.5,0.0
santee_constant,SANTEE,20,7,37,49.2,7.5,0.0
santee_constant,SANTEE,23,12,37,62.2,8.7,0.0
santee_constant,SANTEE,7,2,38,37.8,14.1,0.0
santee_constant,SANTEE,8,3,38,68.1,15.6,0.0
santee_constant,SANTEE,16,8,38,66.7,18.2,0.0
santee_constant,SANTEE,17,8,38,61.8,39.9,0.0
santee_constant,SANTEE,15,7,39,93.8,51.3,0.0
santee_constant,SANTEE,13,7,40,52.3,1.2,0.0
santee_constant,SANTEE,19,8,40,73.2,17.6,0.0
santee_constant,SANTEE,23,8,40,63.7,18.2,0.0
santee_constant,SANTEE,18,9,40,85.6,53.2,0.0
santee_constant,SANTEE,19,9,40,39.7,18.3,0.0
santee_constant,SANTEE,20,9,40,76.3,54.1,0.0
santee_constant,SANTEE,2,10,40,65.1,9.0,0.0
santee_constant,SANTEE,23,10,40,55.5,1.3,0.0
santee_constant,SANTEE,4,3,41,58.5,7.8,0.0
santee_constant,SANTEE,24,1,42,65.6,11.2,0.0
santee_constant,SANTEE,30,3,42,52.1,2.6,0.0
santee_constant,SANTEE,25,4,42,63.3,12.7,0.0
santee_constant,SANTEE,4,6,42,75.7,40.6,0.0
santee_constant,SANTEE,8,11,42,39.3,6.6,0.0
santee_constant,SANTEE,23,5,43,60.5,3.5,0.0
santee_constant,SANTEE,13,8,43,53.2,10.5,0.0
santee_constant,SANTEE,26,7,44,41.3,12.3,0.0
santee_constant,SANTEE,6,8,44,69.3,23.7,0.0
santee_constant,SANTEE,10,8,44,93.1,52.4,0.0
santee_constant,SANTEE,21,9,44,60.3,6.7,0.0
santee_constant,SANTEE,21,10,44,62.3,21.3,0.0
santee_constant,SANTEE,1,6,45,55.4,4.2,0.0
santee_constant,SANTEE,26,8,45,46.2,3.1,0.0
santee_constant,SANTEE,25,9,45,133.0,78.4,0.0
santee_constant,SANTEE,29,9,45,108.7,53.7,0.0
santee_constant,SANTEE,16,2,46,51.8,10.6,0.0
santee_constant,SANTEE,15,5,46,65.6,11.4,0.0
santee_constant,SANTEE,17,8,46,34.4,1.4,0.0
santee_constant,SANTEE,2,9,46,35.1,7.1,0.0
santee_constant,SANTEE,16,10,46,61.2,15.3,0.0
santee_constant,SANTEE,9,3,47,41.0,2.9,0.0
santee_constant,SANTEE,4,6,47,46.3,0.4,0.0
santee_constant,SANTEE,5,7,47,54.8,11.8,0.0
santee_constant,SANTEE,21,9,47,101.0,51.9,0.0
santee_constant,SANTEE,15,6,48,40.0,15.9,0.0
santee_constant,SANTEE,6,8,48,57.7,15.7,0.0
santee_constant,SANTEE,10,8,48,71.6,19.0,0.0
santee_constant,SANTEE,18,8,48,55.5,11.8,0.0
santee_constant,SANTEE,11,10,48,53.3,0.4,0.0
santee_constant,SANTEE,23,10,48,87.1,52.4,0.0
santee_constant,SANTEE,7,3,49,49.3,1.7,0.0
santee_constant,SANTEE,4,6,49,56.9,5.3,0.0
