# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61K of event 'cycles:P'
# Event count (approx.): 4076178927368
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     1.13%     0.45%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::Formatter::pad_integral                                                                                                                                                                                                                                                       -      -
     1.11%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::require_runtime_usize_in_range                                                                                                                                                                                                              -      -
     1.05%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::seed_mofe03_wave2_runtime_surface_inputs                                                                                                                                                                                                    -      -
     1.03%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<alloc::vec::Vec<openwepp_hillslope_orchestrator::scheduler::HillslopeKernelPhaseReport>>                                                                                                                                                                        -      -
     1.02%     0.03%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::writeback::KernelWritebackApplyResult>                                                                                                                                                                                       -      -
     0.98%     0.00%  openwepp-cli-hi  libc.so.6          [.] unlink_chunk (inlined)                                                                                                                                                                                                                                                                   -      -
     0.96%     0.17%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle                                                                                                                                                                                                                           -      -
     0.96%     0.06%  openwepp-cli-hi  openwepp-cli-hill  [.] _ZN4core3fmt5float29float_to_decimal_common_exact17hef26c5c450a9cf96E.llvm.9036914972901821666                                                                                                                                                                                           -      -
     0.93%     0.93%  openwepp-cli-hi  libc.so.6          [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                      -      -
     0.92%     0.08%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::frost_fine_layer_symbol_for_request                                                                                               -      -
     0.88%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_storage_erosion::hydrology_phase_erod14::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_erod14_wave2                                                                         -      -
     0.88%     0.00%  openwepp-cli-hi  libc.so.6          [.] 0x00007d2affaba8ff                                                                                                                                                                                                                                                                       -      -
     0.83%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::seed_mofe03_wave2_class_symbols                                                                                                                                                                                                             -      -
     0.82%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff99200f4b                                                                                                                                                                                                                                                                       -      -
     0.81%     0.11%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::sort_and_dedup_indexed_symbols                                                                                                                                                                                                            -      -
     0.80%     0.13%  openwepp-cli-hi  openwepp-cli-hill  [.] _ZN5alloc7raw_vec20RawVecInner$LT$A$GT$11finish_grow17hacfffe97c2b313c9E.llvm.3671060894988460240                                                                                                                                                                                        -      -
     0.80%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::core_types::KernelRunResponse>                                                                                                                                                                                               -      -
     0.79%     0.03%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::seed_mofe03_wave2_class_symbol                                                                                                                                                                                                                               -      -
     0.79%     0.14%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_plant_percolation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_wb18_percolation_routing                                                                                   -      -
     0.79%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::core_types::KernelWritebackPayload>                                                                                                                                                                                          -      -
     0.78%     0.39%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::derived_frost_depths_from_fine_state                                                                                           -      -
     0.78%     0.04%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scalar_to_i32                                                                                                                                                                                                                                                -      -
     0.77%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff99051d1b                                                                                                                                                                                                                                                                       -      -
     0.77%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff97ead591                                                                                                                                                                                                                                                                       -      -
     0.74%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scalar_to_usize                                                                                                                                                                                                                                              -      -
