# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles:P'
# Event count (approx.): 2495377035070
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     1.36%     0.04%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::writeback::KernelWritebackApplyResult>                                                                                                                                                                                       -      -
     1.35%     0.17%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::wb19_load_layer_state                                                                                                             -      -
     1.34%     0.05%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::seed_mofe03_wave2_class_symbol                                                                                                                                                                                                                               -      -
     1.34%     0.26%  openwepp-cli-hi  openwepp-cli-hill  [.] _ZN5alloc7raw_vec20RawVecInner$LT$A$GT$11finish_grow17hacfffe97c2b313c9E.llvm.3671060894988460240                                                                                                                                                                                        -      -
     1.31%     0.04%  openwepp-cli-hi  libc.so.6          [.] _int_free_maybe_consolidate                                                                                                                                                                                                                                                              -      -
     1.25%     0.06%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scalar_to_i32                                                                                                                                                                                                                                                -      -
     1.25%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::core_types::KernelRunResponse>                                                                                                                                                                                               -      -
     1.24%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scalar_to_usize                                                                                                                                                                                                                                              -      -
     1.22%     0.05%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<openwepp_kernel_contract::lib_mod::core_types::KernelWritebackPayload>                                                                                                                                                                                          -      -
     1.22%     0.20%  openwepp-cli-hi  libc.so.6          [.] _int_realloc                                                                                                                                                                                                                                                                             -      -
     1.21%     0.24%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_plant_percolation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_wb18_percolation_routing                                                                                   -      -
     1.21%     0.55%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::derived_frost_depths_from_fine_state                                                                                           -      -
     1.18%     0.10%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::require_wb19_thetdr_scalar                                                                                                        -      -
     1.11%     0.03%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::apply_transfer_input_to_lane_surface                                                                                                                                                                                                         -      -
     1.05%     0.03%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_storage_erosion::hydrology_phase_erod14::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_erod14_wave2                                                                         -      -
     1.03%     0.55%  openwepp-cli-hi  openwepp-cli-hill  [.] core::num::flt2dec::strategy::dragon::format_exact                                                                                                                                                                                                                                       -      -
     0.92%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::execute_hillslope_run                                                                                                                                                                                                                                        -      -
     0.89%     0.51%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::shared::smallsort::bidirectional_merge                                                                                                                                                                                                                                -      -
     0.87%     0.19%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::require_mofe_hourly_state_array                                                                                                   -      -
     0.81%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::execute_hillslope_climate_days                                                                                                                                                                                                                               -      -
     0.79%     0.06%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::finish_grow                                                                                                                                                                                                                                              -      -
     0.78%     0.00%  openwepp-cli-hi  libc.so.6          [.] tcache_get (inlined)                                                                                                                                                                                                                                                                     -      -
     0.78%     0.00%  openwepp-cli-hi  libc.so.6          [.] tcache_get_n (inlined)                                                                                                                                                                                                                                                                   -      -
     0.74%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff99200f4b                                                                                                                                                                                                                                                                       -      -
     0.73%     0.27%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>>::remove_leaf_kv  -      -
     0.68%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff99051d1b                                                                                                                                                                                                                                                                       -      -
     0.68%     0.30%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::vec::Vec<T,A>::push_mut                                                                                                                                                                                                                                                           -      -
     0.68%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::intake_lane_setup::wb11_seed_helpers::compute_wb11_et_demand_seed                                                                                                                                                                                            -      -
     0.67%     0.23%  openwepp-cli-hi  openwepp-cli-hill  [.] <alloc::string::String as core::clone::Clone>::clone                                                                                                                                                                                                                                     -      -
     0.67%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff97ead591                                                                                                                                                                                                                                                                       -      -
     0.67%     0.57%  openwepp-cli-hi  openwepp-cli-hill  [.] round                                                                                                                                                                                                                                                                                    -      -
     0.66%     0.00%  openwepp-cli-hi  libc.so.6          [.] unlink_chunk (inlined)                                                                                                                                                                                                                                                                   -      -
     0.65%     0.20%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::consumer_boundary::validate_hillslope_consumer_boundary                                                                                                                                                                                                 -      -
     0.63%     0.63%  openwepp-cli-hi  libc.so.6          [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                      -      -
     0.62%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff9800e456                                                                                                                                                                                                                                                                       -      -
     0.61%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::build_simulation_owned_wb13_row_for_ofe                                                                                                                                                                                                                      -      -
     0.61%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::infiltration_reconciliation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_active_snow_coupling                                                                                       -      -
     0.61%     0.51%  openwepp-cli-hi  openwepp-cli-hill  [.] <alloc::string::String as core::fmt::Write>::write_char                                                                                                                                                                                                                                  -      -
     0.58%     0.27%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     0.57%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff9800d452                                                                                                                                                                                                                                                                       -      -
     0.54%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_plant_percolation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::resolve_wb18_percolation_soil_water_after                                                                      -      -
     0.54%     0.26%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::shared::smallsort::sort4_stable                                                                                                                                                                                                                                       -      -
     0.51%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::resolve_mofe_hourly_upstream_carryover                                                                                            -      -
     0.50%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::frost_layer_symbol                                                                                                                -      -


#
# (Cannot load tips.txt file, please install perf!)
#
