scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.40,2024-05-21,0.12523974539577074,0.0035474121295395256,True,738985.543999192,2024-04-09,-41.456000808,6,1,0,5
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.50,2024-05-21,0.1565496817447134,0.0035474121295395256,True,738947.212052154,2024-03-02,-79.787947846,6,2,1,4
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.60,2024-05-21,0.18785961809365606,0.0035474121295395256,True,738942.176017643,2024-02-26,-84.823982357,6,2,1,4
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.70,2024-05-21,0.21916955444259875,0.0035474121295395256,True,738938.185206218,2024-02-22,-88.814793782,7,3,2,4
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.75,2024-05-21,0.2348245226170701,0.0035474121295395256,True,738972.159195216,2024-03-27,-54.840804784,5,1,0,4
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.80,2024-05-21,0.25047949079154147,0.0035474121295395256,True,738970.231965065,2024-03-25,-56.768034935,7,1,0,6
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.90,2024-05-21,0.28178942714048411,0.0035474121295395256,False,,,,6,0,0,6
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.10,2024-08-24,0.031309936348942684,0.015602780437929044,True,739131.133098261,2024-09-02,9.133098261,16,5,4,11
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.20,2024-08-24,0.062619872697885368,0.015602780437929044,False,,,,13,0,0,13
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.25,2024-08-24,0.078274840872356699,0.015602780437929044,False,,,,11,0,0,11
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.30,2024-08-24,0.093929809046828031,0.015602780437929044,False,,,,9,0,0,9
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.40,2024-08-24,0.12523974539577074,0.015602780437929044,False,,,,6,0,0,6
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.50,2024-08-24,0.1565496817447134,0.015602780437929044,False,,,,6,0,0,6
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.60,2024-08-24,0.18785961809365606,0.015602780437929044,False,,,,6,0,0,6
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.70,2024-08-24,0.21916955444259875,0.015602780437929044,False,,,,7,0,0,7
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.75,2024-08-24,0.2348245226170701,0.015602780437929044,False,,,,5,0,0,5
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.80,2024-08-24,0.25047949079154147,0.015602780437929044,False,,,,7,0,0,7
BASE,GSI-2629,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.90,2024-08-24,0.28178942714048411,0.015602780437929044,False,,,,6,0,0,6
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.10,2025-05-01,0.051897433276973361,0.047012628402769562,True,739371.291966108,2025-04-30,-0.708033892,9,1,0,8
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.20,2025-05-01,0.10379486655394672,0.047012628402769562,True,739352.782125579,2025-04-11,-19.217874421,9,1,0,8
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.25,2025-05-01,0.1297435831924334,0.047012628402769562,True,739348.349130416,2025-04-07,-23.650869584,6,1,0,5
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.30,2025-05-01,0.15569229983092006,0.047012628402769562,True,739345.511834787,2025-04-04,-26.488165213,6,1,0,5
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.40,2025-05-01,0.20758973310789344,0.047012628402769562,True,739341.085181935,2025-03-31,-30.914818065,6,1,0,5
